epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,275.359,1.47208,1.06907,1.25001,0.77279,0.72409,0.79368,0.45268,1.59795,1.1296,1.39677,0.0017294,0.0017294,0.0017294
43,280.978,1.4568,1.05651,1.24604,0.7937,0.71151,0.79994,0.45151,1.63528,1.10033,1.40438,0.0017228,0.0017228,0.0017228
44,286.553,1.46864,1.05047,1.25091,0.77522,0.73297,0.80934,0.44956,1.60865,1.10601,1.40737,0.0017162,0.0017162,0.0017162
45,292.178,1.46942,1.06617,1.25696,0.78818,0.70619,0.79163,0.4358,1.62885,1.09882,1.39703,0.0017096,0.0017096,0.0017096
46,297.793,1.46674,1.06421,1.25134,0.82479,0.70909,0.81506,0.46486,1.59179,1.05975,1.36993,0.001703,0.001703,0.001703
47,303.376,1.47262,1.06066,1.2524,0.79221,0.71359,0.80046,0.46651,1.57493,1.07883,1.37218,0.0016964,0.0016964,0.0016964
48,309.044,1.43977,1.04312,1.23673,0.77355,0.71812,0.77608,0.41838,1.72071,1.22412,1.48022,0.0016898,0.0016898,0.0016898
49,314.621,1.45314,1.05336,1.24036,0.75577,0.75615,0.80878,0.47021,1.56378,1.06111,1.36732,0.0016832,0.0016832,0.0016832
50,320.193,1.43935,1.03806,1.22975,0.80858,0.72036,0.8171,0.47447,1.57082,1.01931,1.36441,0.0016766,0.0016766,0.0016766
51,325.778,1.44368,1.04541,1.2341,0.78949,0.74392,0.81404,0.46932,1.55382,1.02807,1.37017,0.00167,0.00167,0.00167
52,331.373,1.46461,1.04899,1.24411,0.79159,0.69678,0.78285,0.43412,1.63556,1.19171,1.42598,0.0016634,0.0016634,0.0016634
53,336.9,1.42042,1.02243,1.22664,0.7801,0.73453,0.81677,0.45625,1.63017,1.05247,1.4257,0.0016568,0.0016568,0.0016568
54,342.488,1.42796,1.02666,1.22115,0.8139,0.72707,0.81731,0.47293,1.60496,1.03487,1.39421,0.0016502,0.0016502,0.0016502
55,348.046,1.42468,1.01438,1.22784,0.79393,0.73304,0.80976,0.45426,1.6176,1.05127,1.38904,0.0016436,0.0016436,0.0016436
56,353.585,1.41075,1.0197,1.2245,0.7963,0.74049,0.81737,0.47093,1.58847,1.04271,1.38704,0.001637,0.001637,0.001637
